,user_name,track_id,anger,fear,joy,sadness,analytical,confident,tentative,lyric_anger,lyric_fear,lyric_joy,lyric_sadness,lyric_analytical,lyric_confident,lyric_tentative,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,mango_uyu,6UDrfHEnUWI3O03sacM3KO,0.0,0.0,0.0,0.0,0.0,0.0,0.984352,0.0,0.0,0.0,0.720228,0.0,0.0,0.0,0.587,0.668,8,-5.79,0.0435,0.222,0.0,0.0589,0.124,93.974
1,mango_uyu,0yIUV22RiuBmcdPQHIFNsX,0.0,0.0,0.6987070000000001,0.0,0.2067596666666666,0.0,0.0,0.0,0.0,0.61152,0.0,0.628633,0.0,0.967616,0.681,0.511,6,-14.149,0.0597,0.206,0.251,0.159,0.636,165.968
2,mango_uyu,3PUKPA5eQdpiTmGUFR1p6u,0.0,0.0,0.5043365,0.0,0.4356919999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.219,0.755,7,-5.335,0.052,0.216,0.0,0.107,0.384,77.271
3,mango_uyu,0UY4FvG4f9JI6kBR1BlWrZ,0.0,0.0,0.626786,0.0,0.0,0.0,0.0,0.0,0.523513,0.0,0.659516,0.0,0.0,0.0,0.528,0.831,8,-3.607,0.0429,9.43e-05,0.0,0.141,0.632,131.094
4,mango_uyu,3l9CW99AHtExIRV4hW2N5m,0.0,0.0,0.886115,0.0,0.560098,0.0,0.0,0.0,0.0,0.903788,0.0,0.0,0.0,0.768733,0.517,0.906,1,-3.677,0.0735,0.00272,9.26e-06,0.113,0.731,172.977
5,mango_uyu,4Pm6d1HchNq8x2Q67OkP8L,0.0,0.0,0.0,0.0,0.0,0.0,0.647986,0.0,0.0,0.0,0.0,0.0,0.0,0.89383,0.583,0.96,1,-3.597,0.0511,0.00105,2.97e-05,0.0801,0.626,137.991
6,mango_uyu,6GPpocnUJbzMNMTJDLYCim,0.0,0.2659245,0.0,0.333663,0.0,0.0,0.4111155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.436,0.942,9,-2.206,0.0496,9.56e-05,0.000438,0.209,0.5,164.975
7,mango_uyu,0QjQC8sGqxUkaJFBsJjtGm,0.0,0.0,0.699138,0.0,0.0,0.0,0.4111155,0.0,0.0,0.0,0.605432,0.0,0.630942,0.0,0.361,0.357,8,-8.423,0.0312,0.704,0.0,0.219,0.153,122.962
8,mango_uyu,0lsE1vjZQazyEnexXpD4B1,0.0,0.0,0.0,0.0,0.560098,0.0,0.681699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.458,0.203,6,-12.348,0.0411,0.836,2.06e-05,0.246,0.265,145.737
9,mango_uyu,1a2UGfluPyrXHTbL1NeFbR,0.0,0.0,0.1425225,0.13768125,0.2254735,0.1939255,0.537002,0.0,0.0,0.0,0.537894,0.721261,0.868774,0.0,0.61,0.22,5,-9.962,0.0293,0.89,5.16e-06,0.111,0.212,135.055
10,mango_uyu,7I8Jz8ixydAgAwO5LeyTQR,0.0,0.0,0.0,0.676565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.738,0.908,9,-5.137,0.0628,0.119,1.53e-05,0.104,0.787,99.988
11,mango_uyu,4u4hQml1aNk0wQUhQzijNr,0.0,0.0,0.0,0.0,0.0,0.4477906666666666,0.3199599999999999,0.0,0.0,0.0,0.541945,0.0,0.0,0.0,0.772,0.466,10,-9.094,0.0528,0.694,0.000164,0.116,0.47,100.94
12,mango_uyu,6poVmpGU3y3jj1Z9xbbbH4,0.0,0.0,0.3781545,0.0,0.0,0.0,0.473111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575,0.931,9,-1.628,0.0867,0.0162,1.44e-06,0.417,0.521,168.024
13,mango_uyu,62eXXGkcDrsf7eyhTDFlgy,0.0,0.0,0.808559,0.0,0.280049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.754,0.809,8,-2.907,0.212,0.204,0.0,0.104,0.646,140.095
14,mango_uyu,0oU9DIuMrbHeEDNiluTLSK,0.0,0.0,0.907468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.269,10,-10.006,0.0283,0.929,0.000111,0.129,0.137,87.941
15,mango_uyu,1Z6fapeJwV9YlzDZkZGd0h,0.0,0.0,0.0,0.718788,0.842108,0.0,0.946222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438,0.368,7,-9.61,0.0295,0.86,0.000196,0.433,0.0973,86.014
16,mango_uyu,5ohyT60P2aaBfrCSPg6gal,0.9313205,0.0,0.0,0.0,0.0,0.0,0.0,0.556198,0.0,0.622524,0.0,0.0,0.0,0.0,0.803,0.827,1,-5.249,0.0572,0.074,0.0,0.0852,0.628,94.231
